53.0713 	EXP 	slider: markerPos = None
53.0713 	EXP 	slider: rating = None
53.0713 	EXP 	image: autoDraw = True
53.0713 	EXP 	image_2: autoDraw = True
53.0713 	EXP 	slider: autoDraw = True
53.0713 	EXP 	text: autoDraw = True
54.3901 	DATA 	Mouse: Left button down, pos=(501,178)
54.4023 	EXP 	slider: markerPos = 2.1750000000000003
54.4023 	EXP 	unnamed Circle: pos = array([[-0.24333333, -0.3       ]])
54.4212 	EXP 	slider: markerPos = 2.1750000000000003
54.4373 	EXP 	slider: markerPos = 2.1750000000000003
54.4547 	EXP 	slider: markerPos = 2.1750000000000003
54.4604 	DATA 	Mouse:  Left button up, pos=(501,178)
54.4683 	EXP 	slider: markerPos = 2.1750000000000003
54.4880 	EXP 	slider: markerPos = 2.1750000000000003
54.4880 	EXP 	slider: rating = 2.1750000000000003
54.4880 	EXP 	unnamed Circle: pos = array([[-0.24333333, -0.3       ]])
54.4903 	EXP 	New trial (rep=0, index=16): OrderedDict([('color1', 'yellow'), ('color2', 'chartrueuse_green'), ('color1a', 'yellow.png'), ('color2a', 'chartrueuse_green.png')])
54.5054 	EXP 	image: autoDraw = False
54.5054 	EXP 	image_2: autoDraw = False
54.5054 	EXP 	slider: autoDraw = False
54.5054 	EXP 	text: autoDraw = False
54.5054 	EXP 	image: image = 'yellow.png'
54.5054 	EXP 	image_2: image = 'chartrueuse_green.png'
54.5054 	EXP 	slider: markerPos = None
54.5054 	EXP 	slider: markerPos = None
54.5054 	EXP 	slider: rating = None
54.5054 	EXP 	image: autoDraw = True
54.5054 	EXP 	image_2: autoDraw = True
54.5054 	EXP 	slider: autoDraw = True
54.5054 	EXP 	text: autoDraw = True
55.1565 	DATA 	Mouse: Left button down, pos=(501,178)
55.1690 	EXP 	slider: markerPos = 2.1750000000000003
55.1690 	EXP 	unnamed Circle: pos = array([[-0.24333333, -0.3       ]])
55.1880 	EXP 	slider: markerPos = 2.1750000000000003
55.2045 	EXP 	slider: markerPos = 2.1750000000000003
55.2212 	EXP 	slider: markerPos = 2.1750000000000003
55.2273 	DATA 	Mouse:  Left button up, pos=(501,178)
55.2380 	EXP 	slider: markerPos = 2.1750000000000003
55.2547 	EXP 	slider: markerPos = 2.1750000000000003
55.2547 	EXP 	slider: rating = 2.1750000000000003
55.2547 	EXP 	unnamed Circle: pos = array([[-0.24333333, -0.3       ]])
55.2569 	EXP 	New trial (rep=0, index=17): OrderedDict([('color1', 'rose'), ('color2', 'green'), ('color1a', 'rose.png'), ('color2a', 'green.png')])
55.2718 	EXP 	image: autoDraw = False
55.2718 	EXP 	image_2: autoDraw = False
55.2718 	EXP 	slider: autoDraw = False
55.2718 	EXP 	text: autoDraw = False
55.2718 	EXP 	image: image = 'rose.png'
55.2718 	EXP 	image_2: image = 'green.png'
55.2718 	EXP 	slider: markerPos = None
55.2718 	EXP 	slider: markerPos = None
55.2718 	EXP 	slider: rating = None
55.2718 	EXP 	image: autoDraw = True
55.2718 	EXP 	image_2: autoDraw = True
55.2718 	EXP 	slider: autoDraw = True
55.2718 	EXP 	text: autoDraw = True
57.6911 	DATA 	Mouse: Left button down, pos=(949,178)
57.7024 	EXP 	slider: markerPos = 5.908333333333333
57.7024 	EXP 	unnamed Circle: pos = array([[ 0.25444444, -0.3       ]])
57.7210 	EXP 	slider: markerPos = 5.908333333333333
57.7380 	EXP 	slider: markerPos = 5.908333333333333
57.7539 	EXP 	slider: markerPos = 5.908333333333333
57.7711 	EXP 	slider: markerPos = 5.908333333333333
57.7872 	EXP 	slider: markerPos = 5.908333333333333
57.7888 	DATA 	Mouse:  Left button up, pos=(949,178)
57.8046 	EXP 	slider: markerPos = 5.908333333333333
57.8046 	EXP 	slider: rating = 5.908333333333333
57.8046 	EXP 	unnamed Circle: pos = array([[ 0.25444444, -0.3       ]])
57.8075 	EXP 	New trial (rep=0, index=18): OrderedDict([('color1', 'cyan'), ('color2', 'magenta'), ('color1a', 'cyan.png'), ('color2a', 'magenta.png')])
57.8373 	EXP 	image: autoDraw = False
57.8373 	EXP 	image_2: autoDraw = False
57.8373 	EXP 	slider: autoDraw = False
57.8373 	EXP 	text: autoDraw = False
57.8373 	EXP 	image: image = 'cyan.png'
57.8373 	EXP 	image_2: image = 'magenta.png'
57.8373 	EXP 	slider: markerPos = None
57.8373 	EXP 	slider: markerPos = None
57.8373 	EXP 	slider: rating = None
57.8373 	EXP 	image: autoDraw = True
57.8373 	EXP 	image_2: autoDraw = True
57.8373 	EXP 	slider: autoDraw = True
57.8373 	EXP 	text: autoDraw = True
59.7257 	DATA 	Mouse: Left button down, pos=(718,167)
59.7549 	EXP 	slider: markerPos = 3.9833333333333334
59.7549 	EXP 	unnamed Circle: pos = array([[-0.00222222, -0.3       ]])
59.7708 	EXP 	slider: markerPos = 3.9833333333333334
59.7877 	EXP 	slider: markerPos = 3.9833333333333334
59.8046 	EXP 	slider: markerPos = 3.9833333333333334
59.8064 	DATA 	Mouse:  Left button up, pos=(718,167)
59.8211 	EXP 	slider: markerPos = 3.9833333333333334
59.8211 	EXP 	slider: rating = 3.9833333333333334
59.8211 	EXP 	unnamed Circle: pos = array([[-0.00222222, -0.3       ]])
59.8234 	EXP 	New trial (rep=0, index=19): OrderedDict([('color1', 'spring_green'), ('color2', 'cyan'), ('color1a', 'spring_green.png'), ('color2a', 'cyan.png')])
59.8386 	EXP 	image: autoDraw = False
59.8386 	EXP 	image_2: autoDraw = False
59.8386 	EXP 	slider: autoDraw = False
59.8386 	EXP 	text: autoDraw = False
59.8386 	EXP 	image: image = 'spring_green.png'
59.8386 	EXP 	image_2: image = 'cyan.png'
59.8386 	EXP 	slider: markerPos = None
59.8386 	EXP 	slider: markerPos = None
59.8386 	EXP 	slider: rating = None
59.8386 	EXP 	image: autoDraw = True
59.8386 	EXP 	image_2: autoDraw = True
59.8386 	EXP 	slider: autoDraw = True
59.8386 	EXP 	text: autoDraw = True
61.1401 	DATA 	Mouse: Left button down, pos=(631,175)
61.1535 	EXP 	slider: markerPos = 3.2583333333333333
61.1535 	EXP 	unnamed Circle: pos = array([[-0.09888889, -0.3       ]])
61.1707 	EXP 	slider: markerPos = 3.2583333333333333
61.1881 	EXP 	slider: markerPos = 3.2583333333333333
61.2045 	EXP 	slider: markerPos = 3.2583333333333333
61.2206 	EXP 	slider: markerPos = 3.2583333333333333
61.2372 	EXP 	slider: markerPos = 3.2583333333333333
61.2398 	DATA 	Mouse:  Left button up, pos=(631,175)
61.2546 	EXP 	slider: markerPos = 3.2583333333333333
61.2546 	EXP 	slider: rating = 3.2583333333333333
61.2546 	EXP 	unnamed Circle: pos = array([[-0.09888889, -0.3       ]])
61.2573 	EXP 	New trial (rep=0, index=20): OrderedDict([('color1', 'violet'), ('color2', 'yellow'), ('color1a', 'violet.png'), ('color2a', 'yellow.png')])
61.2712 	EXP 	image: autoDraw = False
61.2712 	EXP 	image_2: autoDraw = False
61.2712 	EXP 	slider: autoDraw = False
61.2712 	EXP 	text: autoDraw = False
61.2712 	EXP 	image: image = 'violet.png'
61.2712 	EXP 	image_2: image = 'yellow.png'
61.2712 	EXP 	slider: markerPos = None
61.2712 	EXP 	slider: markerPos = None
61.2712 	EXP 	slider: rating = None
61.2712 	EXP 	image: autoDraw = True
61.2712 	EXP 	image_2: autoDraw = True
61.2712 	EXP 	slider: autoDraw = True
61.2712 	EXP 	text: autoDraw = True
62.4064 	DATA 	Mouse: Left button down, pos=(929,168)
62.4209 	EXP 	slider: markerPos = 5.741666666666666
62.4209 	EXP 	unnamed Circle: pos = array([[ 0.23222222, -0.3       ]])
62.4379 	EXP 	slider: markerPos = 5.741666666666666
62.4546 	EXP 	slider: markerPos = 5.741666666666666
62.4711 	EXP 	slider: markerPos = 5.741666666666666
62.4771 	DATA 	Mouse:  Left button up, pos=(929,168)
62.4854 	EXP 	slider: markerPos = 5.741666666666666
62.5044 	EXP 	slider: markerPos = 5.741666666666666
62.5044 	EXP 	slider: rating = 5.741666666666666
62.5044 	EXP 	unnamed Circle: pos = array([[ 0.23222222, -0.3       ]])
62.5074 	EXP 	New trial (rep=0, index=21): OrderedDict([('color1', 'chartrueuse_green'), ('color2', 'red'), ('color1a', 'chartrueuse_green.png'), ('color2a', 'red.png')])
62.5221 	EXP 	image: autoDraw = False
62.5221 	EXP 	image_2: autoDraw = False
62.5221 	EXP 	slider: autoDraw = False
62.5221 	EXP 	text: autoDraw = False
62.5221 	EXP 	image: image = 'chartrueuse_green.png'
62.5221 	EXP 	image_2: image = 'red.png'
62.5221 	EXP 	slider: markerPos = None
62.5221 	EXP 	slider: markerPos = None
62.5221 	EXP 	slider: rating = None
62.5221 	EXP 	image: autoDraw = True
62.5221 	EXP 	image_2: autoDraw = True
62.5221 	EXP 	slider: autoDraw = True
62.5221 	EXP 	text: autoDraw = True
63.7561 	DATA 	Mouse: Left button down, pos=(1060,169)
63.7698 	EXP 	slider: markerPos = 6.833333333333333
63.7698 	EXP 	unnamed Circle: pos = array([[ 0.37777778, -0.3       ]])
63.7880 	EXP 	slider: markerPos = 6.833333333333333
63.8044 	EXP 	slider: markerPos = 6.833333333333333
63.8206 	EXP 	slider: markerPos = 6.833333333333333
63.8375 	EXP 	slider: markerPos = 6.833333333333333
63.8404 	DATA 	Mouse:  Left button up, pos=(1060,169)
63.8518 	EXP 	slider: markerPos = 6.833333333333333
63.8518 	EXP 	slider: rating = 6.833333333333333
63.8518 	EXP 	unnamed Circle: pos = array([[ 0.37777778, -0.3       ]])
63.8546 	EXP 	New trial (rep=0, index=22): OrderedDict([('color1', 'yellow'), ('color2', 'cyan'), ('color1a', 'yellow.png'), ('color2a', 'cyan.png')])
63.8693 	EXP 	image: autoDraw = False
63.8693 	EXP 	image_2: autoDraw = False
63.8693 	EXP 	slider: autoDraw = False
63.8693 	EXP 	text: autoDraw = False
63.8693 	EXP 	image: image = 'yellow.png'
63.8693 	EXP 	image_2: image = 'cyan.png'
63.8693 	EXP 	slider: markerPos = None
63.8693 	EXP 	slider: markerPos = None
63.8693 	EXP 	slider: rating = None
63.8693 	EXP 	image: autoDraw = True
63.8693 	EXP 	image_2: autoDraw = True
63.8693 	EXP 	slider: autoDraw = True
63.8693 	EXP 	text: autoDraw = True
65.4064 	DATA 	Mouse: Left button down, pos=(610,159)
65.4194 	EXP 	slider: markerPos = 3.083333333333333
65.4194 	EXP 	unnamed Circle: pos = array([[-0.12222222, -0.3       ]])
65.4379 	EXP 	slider: markerPos = 3.083333333333333
65.4544 	EXP 	slider: markerPos = 3.083333333333333
65.4710 	EXP 	slider: markerPos = 3.083333333333333
65.4732 	DATA 	Mouse:  Left button up, pos=(610,159)
65.4860 	EXP 	slider: markerPos = 3.083333333333333
65.4860 	EXP 	slider: rating = 3.083333333333333
65.4860 	EXP 	unnamed Circle: pos = array([[-0.12222222, -0.3       ]])
65.4886 	EXP 	New trial (rep=0, index=23): OrderedDict([('color1', 'spring_green'), ('color2', 'spring_green'), ('color1a', 'spring_green.png'), ('color2a', 'spring_green.png')])
65.5038 	EXP 	image: autoDraw = False
65.5038 	EXP 	image_2: autoDraw = False
65.5038 	EXP 	slider: autoDraw = False
65.5038 	EXP 	text: autoDraw = False
65.5038 	EXP 	image: image = 'spring_green.png'
65.5038 	EXP 	image_2: image = 'spring_green.png'
65.5038 	EXP 	slider: markerPos = None
65.5038 	EXP 	slider: markerPos = None
65.5038 	EXP 	slider: rating = None
65.5038 	EXP 	image: autoDraw = True
65.5038 	EXP 	image_2: autoDraw = True
65.5038 	EXP 	slider: autoDraw = True
65.5038 	EXP 	text: autoDraw = True
66.9230 	DATA 	Mouse: Left button down, pos=(366,175)
66.9382 	EXP 	slider: markerPos = 1.0500000000000003
66.9382 	EXP 	unnamed Circle: pos = array([[-0.39333333, -0.3       ]])
66.9538 	EXP 	slider: markerPos = 1.0500000000000003
66.9705 	EXP 	slider: markerPos = 1.0500000000000003
66.9879 	EXP 	slider: markerPos = 1.0500000000000003
67.0041 	EXP 	slider: markerPos = 1.0500000000000003
67.0211 	EXP 	slider: markerPos = 1.0500000000000003
67.0375 	EXP 	slider: markerPos = 1.0500000000000003
67.0542 	EXP 	slider: markerPos = 1.0500000000000003
67.0706 	EXP 	slider: markerPos = 1.0500000000000003
67.0878 	EXP 	slider: markerPos = 1.0500000000000003
67.1044 	EXP 	slider: markerPos = 1.0500000000000003
67.1212 	EXP 	slider: markerPos = 1.0500000000000003
67.1381 	EXP 	slider: markerPos = 1.0500000000000003
67.1544 	EXP 	slider: markerPos = 1.0500000000000003
67.1715 	EXP 	slider: markerPos = 1.0500000000000003
67.1731 	DATA 	Mouse:  Left button up, pos=(366,175)
67.1860 	EXP 	slider: markerPos = 1.0500000000000003
67.1860 	EXP 	slider: rating = 1.0500000000000003
67.1860 	EXP 	unnamed Circle: pos = array([[-0.39333333, -0.3       ]])
67.1887 	EXP 	New trial (rep=0, index=24): OrderedDict([('color1', 'azure'), ('color2', 'azure'), ('color1a', 'azure.png'), ('color2a', 'azure.png')])
67.2074 	EXP 	image: autoDraw = False
67.2074 	EXP 	image_2: autoDraw = False
67.2074 	EXP 	slider: autoDraw = False
67.2074 	EXP 	text: autoDraw = False
67.2074 	EXP 	image: image = 'azure.png'
67.2074 	EXP 	image_2: image = 'azure.png'
67.2074 	EXP 	slider: markerPos = None
67.2074 	EXP 	slider: markerPos = None
67.2074 	EXP 	slider: rating = None
67.2074 	EXP 	image: autoDraw = True
67.2074 	EXP 	image_2: autoDraw = True
67.2074 	EXP 	slider: autoDraw = True
67.2074 	EXP 	text: autoDraw = True
67.9245 	DATA 	Mouse: Left button down, pos=(366,175)
67.9359 	EXP 	slider: markerPos = 1.0500000000000003
67.9359 	EXP 	unnamed Circle: pos = array([[-0.39333333, -0.3       ]])
67.9547 	EXP 	slider: markerPos = 1.0500000000000003
67.9706 	EXP 	slider: markerPos = 1.0500000000000003
67.9877 	EXP 	slider: markerPos = 1.0500000000000003
68.0047 	EXP 	slider: markerPos = 1.0500000000000003
68.0062 	DATA 	Mouse:  Left button up, pos=(366,175)
68.0191 	EXP 	slider: markerPos = 1.0500000000000003
68.0191 	EXP 	slider: rating = 1.0500000000000003
68.0191 	EXP 	unnamed Circle: pos = array([[-0.39333333, -0.3       ]])
68.0221 	EXP 	New trial (rep=0, index=25): OrderedDict([('color1', 'violet'), ('color2', 'blue'), ('color1a', 'violet.png'), ('color2a', 'blue.png')])
68.0372 	EXP 	image: autoDraw = False
68.0372 	EXP 	image_2: autoDraw = False
68.0372 	EXP 	slider: autoDraw = False
68.0372 	EXP 	text: autoDraw = False
68.0372 	EXP 	image: image = 'violet.png'
68.0372 	EXP 	image_2: image = 'blue.png'
68.0372 	EXP 	slider: markerPos = None
68.0372 	EXP 	slider: markerPos = None
68.0372 	EXP 	slider: rating = None
68.0372 	EXP 	image: autoDraw = True
68.0372 	EXP 	image_2: autoDraw = True
68.0372 	EXP 	slider: autoDraw = True
68.0372 	EXP 	text: autoDraw = True
69.3553 	DATA 	Mouse: Left button down, pos=(458,181)
69.3697 	EXP 	slider: markerPos = 1.8166666666666669
69.3697 	EXP 	unnamed Circle: pos = array([[-0.29111111, -0.3       ]])
69.3874 	EXP 	slider: markerPos = 1.8166666666666669
69.4040 	EXP 	slider: markerPos = 1.8166666666666669
69.4204 	EXP 	slider: markerPos = 1.8166666666666669
69.4376 	EXP 	slider: markerPos = 1.8166666666666669
69.4394 	DATA 	Mouse:  Left button up, pos=(458,181)
69.4516 	EXP 	slider: markerPos = 1.8166666666666669
69.4516 	EXP 	slider: rating = 1.8166666666666669
69.4516 	EXP 	unnamed Circle: pos = array([[-0.29111111, -0.3       ]])
69.4544 	EXP 	New trial (rep=0, index=26): OrderedDict([('color1', 'violet'), ('color2', 'violet'), ('color1a', 'violet.png'), ('color2a', 'violet.png')])
69.4709 	EXP 	image: autoDraw = False
69.4709 	EXP 	image_2: autoDraw = False
69.4709 	EXP 	slider: autoDraw = False
69.4709 	EXP 	text: autoDraw = False
69.4709 	EXP 	image: image = 'violet.png'
69.4709 	EXP 	image_2: image = 'violet.png'
69.4709 	EXP 	slider: markerPos = None
69.4709 	EXP 	slider: markerPos = None
69.4709 	EXP 	slider: rating = None
69.4709 	EXP 	image: autoDraw = True
69.4709 	EXP 	image_2: autoDraw = True
69.4709 	EXP 	slider: autoDraw = True
69.4709 	EXP 	text: autoDraw = True
70.5077 	DATA 	Mouse: Left button down, pos=(363,180)
70.5192 	EXP 	slider: markerPos = 1.0250000000000004
70.5192 	EXP 	unnamed Circle: pos = array([[-0.39666667, -0.3       ]])
70.5379 	EXP 	slider: markerPos = 1.0250000000000004
70.5548 	EXP 	slider: markerPos = 1.0250000000000004
70.5707 	EXP 	slider: markerPos = 1.0250000000000004
70.5878 	EXP 	slider: markerPos = 1.0250000000000004
70.6046 	EXP 	slider: markerPos = 1.0250000000000004
70.6204 	EXP 	slider: markerPos = 1.0250000000000004
70.6219 	DATA 	Mouse:  Left button up, pos=(363,180)
70.6376 	EXP 	slider: markerPos = 1.0250000000000004
70.6376 	EXP 	slider: rating = 1.0250000000000004
70.6376 	EXP 	unnamed Circle: pos = array([[-0.39666667, -0.3       ]])
70.6399 	EXP 	New trial (rep=0, index=27): OrderedDict([('color1', 'violet'), ('color2', 'green'), ('color1a', 'violet.png'), ('color2a', 'green.png')])
70.6539 	EXP 	image: autoDraw = False
70.6539 	EXP 	image_2: autoDraw = False
70.6539 	EXP 	slider: autoDraw = False
70.6539 	EXP 	text: autoDraw = False
70.6539 	EXP 	image: image = 'violet.png'
70.6539 	EXP 	image_2: image = 'green.png'
70.6539 	EXP 	slider: markerPos = None
70.6539 	EXP 	slider: markerPos = None
70.6539 	EXP 	slider: rating = None
70.6539 	EXP 	image: autoDraw = True
70.6539 	EXP 	image_2: autoDraw = True
70.6539 	EXP 	slider: autoDraw = True
70.6539 	EXP 	text: autoDraw = True
72.6564 	DATA 	Mouse: Left button down, pos=(369,176)
72.6695 	EXP 	slider: markerPos = 1.0750000000000002
72.6695 	EXP 	unnamed Circle: pos = array([[-0.39, -0.3 ]])
72.6877 	EXP 	slider: markerPos = 1.0750000000000002
72.7044 	EXP 	slider: markerPos = 1.0750000000000002
72.7208 	EXP 	slider: markerPos = 1.0750000000000002
72.7373 	EXP 	slider: markerPos = 1.0750000000000002
72.7544 	EXP 	slider: markerPos = 1.0750000000000002
72.7560 	DATA 	Mouse:  Left button up, pos=(369,176)
72.7687 	EXP 	slider: markerPos = 1.0750000000000002
72.7687 	EXP 	slider: rating = 1.0750000000000002
72.7687 	EXP 	unnamed Circle: pos = array([[-0.39, -0.3 ]])
72.7714 	EXP 	New trial (rep=0, index=28): OrderedDict([('color1', 'red'), ('color2', 'cyan'), ('color1a', 'red.png'), ('color2a', 'cyan.png')])
72.7864 	EXP 	image: autoDraw = False
72.7864 	EXP 	image_2: autoDraw = False
72.7864 	EXP 	slider: autoDraw = False
72.7864 	EXP 	text: autoDraw = False
72.7864 	EXP 	image: image = 'red.png'
72.7864 	EXP 	image_2: image = 'cyan.png'
72.7864 	EXP 	slider: markerPos = None
72.7864 	EXP 	slider: markerPos = None
72.7864 	EXP 	slider: rating = None
72.7864 	EXP 	image: autoDraw = True
72.7864 	EXP 	image_2: autoDraw = True
72.7864 	EXP 	slider: autoDraw = True
72.7864 	EXP 	text: autoDraw = True
74.2406 	DATA 	Mouse: Left button down, pos=(951,177)
74.2521 	EXP 	slider: markerPos = 5.925
74.2521 	EXP 	unnamed Circle: pos = array([[ 0.25666667, -0.3       ]])
74.2714 	EXP 	slider: markerPos = 5.925
74.2873 	EXP 	slider: markerPos = 5.925
74.3043 	EXP 	slider: markerPos = 5.925
74.3210 	EXP 	slider: markerPos = 5.925
74.3225 	DATA 	Mouse:  Left button up, pos=(951,177)
74.3355 	EXP 	slider: markerPos = 5.925
74.3355 	EXP 	slider: rating = 5.925
74.3355 	EXP 	unnamed Circle: pos = array([[ 0.25666667, -0.3       ]])
74.3387 	EXP 	New trial (rep=0, index=29): OrderedDict([('color1', 'violet'), ('color2', 'cyan'), ('color1a', 'violet.png'), ('color2a', 'cyan.png')])
74.3539 	EXP 	image: autoDraw = False
74.3539 	EXP 	image_2: autoDraw = False
74.3539 	EXP 	slider: autoDraw = False
74.3539 	EXP 	text: autoDraw = False
74.3539 	EXP 	image: image = 'violet.png'
74.3539 	EXP 	image_2: image = 'cyan.png'
74.3539 	EXP 	slider: markerPos = None
74.3539 	EXP 	slider: markerPos = None
74.3539 	EXP 	slider: rating = None
74.3539 	EXP 	image: autoDraw = True
74.3539 	EXP 	image_2: autoDraw = True
74.3539 	EXP 	slider: autoDraw = True
74.3539 	EXP 	text: autoDraw = True
77.5224 	DATA 	Mouse: Left button down, pos=(618,186)
77.5357 	EXP 	slider: markerPos = 3.15
77.5357 	EXP 	unnamed Circle: pos = array([[-0.11333333, -0.3       ]])
77.5544 	EXP 	slider: markerPos = 3.15
77.5710 	EXP 	slider: markerPos = 3.15
77.5737 	DATA 	Mouse:  Left button up, pos=(618,186)
77.5852 	EXP 	slider: markerPos = 3.15
77.5852 	EXP 	slider: rating = 3.15
77.5852 	EXP 	unnamed Circle: pos = array([[-0.11333333, -0.3       ]])
77.5881 	EXP 	New trial (rep=0, index=30): OrderedDict([('color1', 'azure'), ('color2', 'violet'), ('color1a', 'azure.png'), ('color2a', 'violet.png')])
77.6038 	EXP 	image: autoDraw = False
77.6038 	EXP 	image_2: autoDraw = False
77.6038 	EXP 	slider: autoDraw = False
77.6038 	EXP 	text: autoDraw = False
77.6038 	EXP 	image: image = 'azure.png'
77.6038 	EXP 	image_2: image = 'violet.png'
77.6038 	EXP 	slider: markerPos = None
77.6038 	EXP 	slider: markerPos = None
77.6038 	EXP 	slider: rating = None
77.6038 	EXP 	image: autoDraw = True
77.6038 	EXP 	image_2: autoDraw = True
77.6038 	EXP 	slider: autoDraw = True
77.6038 	EXP 	text: autoDraw = True
79.3887 	DATA 	Mouse: Left button down, pos=(572,183)
79.4048 	EXP 	slider: markerPos = 2.7666666666666666
79.4048 	EXP 	unnamed Circle: pos = array([[-0.16444444, -0.3       ]])
79.4209 	EXP 	slider: markerPos = 2.7666666666666666
79.4370 	EXP 	slider: markerPos = 2.7666666666666666
79.4546 	EXP 	slider: markerPos = 2.7666666666666666
79.4705 	EXP 	slider: markerPos = 2.7666666666666666
79.4721 	DATA 	Mouse:  Left button up, pos=(572,183)
79.4869 	EXP 	slider: markerPos = 2.7666666666666666
79.4869 	EXP 	slider: rating = 2.7666666666666666
79.4869 	EXP 	unnamed Circle: pos = array([[-0.16444444, -0.3       ]])
79.4896 	EXP 	New trial (rep=0, index=31): OrderedDict([('color1', 'blue'), ('color2', 'chartrueuse_green'), ('color1a', 'blue.png'), ('color2a', 'chartrueuse_green.png')])
79.5031 	EXP 	image: autoDraw = False
79.5031 	EXP 	image_2: autoDraw = False
79.5031 	EXP 	slider: autoDraw = False
79.5031 	EXP 	text: autoDraw = False
79.5031 	EXP 	image: image = 'blue.png'
79.5031 	EXP 	image_2: image = 'chartrueuse_green.png'
79.5031 	EXP 	slider: markerPos = None
79.5031 	EXP 	slider: markerPos = None
79.5031 	EXP 	slider: rating = None
79.5031 	EXP 	image: autoDraw = True
79.5031 	EXP 	image_2: autoDraw = True
79.5031 	EXP 	slider: autoDraw = True
79.5031 	EXP 	text: autoDraw = True
80.7887 	DATA 	Mouse: Left button down, pos=(958,185)
80.8043 	EXP 	slider: markerPos = 5.9833333333333325
80.8043 	EXP 	unnamed Circle: pos = array([[ 0.26444444, -0.3       ]])
80.8205 	EXP 	slider: markerPos = 5.9833333333333325
80.8374 	EXP 	slider: markerPos = 5.9833333333333325
80.8535 	EXP 	slider: markerPos = 5.9833333333333325
80.8551 	DATA 	Mouse:  Left button up, pos=(958,185)
80.8710 	EXP 	slider: markerPos = 5.9833333333333325
80.8710 	EXP 	slider: rating = 5.9833333333333325
80.8710 	EXP 	unnamed Circle: pos = array([[ 0.26444444, -0.3       ]])
80.8734 	EXP 	New trial (rep=0, index=32): OrderedDict([('color1', 'spring_green'), ('color2', 'azure'), ('color1a', 'spring_green.png'), ('color2a', 'azure.png')])
80.8873 	EXP 	image: autoDraw = False
80.8873 	EXP 	image_2: autoDraw = False
80.8873 	EXP 	slider: autoDraw = False
80.8873 	EXP 	text: autoDraw = False
80.8873 	EXP 	image: image = 'spring_green.png'
80.8873 	EXP 	image_2: image = 'azure.png'
80.8873 	EXP 	slider: markerPos = None
80.8873 	EXP 	slider: markerPos = None
80.8873 	EXP 	slider: rating = None
80.8873 	EXP 	image: autoDraw = True
80.8873 	EXP 	image_2: autoDraw = True
80.8873 	EXP 	slider: autoDraw = True
80.8873 	EXP 	text: autoDraw = True
82.8599 	DATA 	Keypress: escape
83.1613 	EXP 	window1: mouseVisible = True
