14.1874 	EXP 	slider: markerPos = 2.0250000000000004
14.2048 	EXP 	slider: markerPos = 2.0250000000000004
14.2215 	EXP 	slider: markerPos = 2.0250000000000004
14.2378 	EXP 	slider: markerPos = 2.0250000000000004
14.2545 	EXP 	slider: markerPos = 2.0250000000000004
14.2715 	EXP 	slider: markerPos = 2.0250000000000004
14.2875 	EXP 	slider: markerPos = 2.0250000000000004
14.3043 	EXP 	slider: markerPos = 2.0250000000000004
14.3051 	DATA 	Mouse:  Left button up, pos=(483,172)
14.3216 	EXP 	slider: markerPos = 2.0250000000000004
14.3216 	EXP 	slider: rating = 2.0250000000000004
14.3216 	EXP 	unnamed Circle: pos = array([[-0.26333333, -0.3       ]])
14.3229 	EXP 	New trial (rep=0, index=1): OrderedDict([('color1', 'blue'), ('color2', 'spring_green'), ('color1a', 'blue.png'), ('color2a', 'spring_green.png')])
14.3381 	EXP 	image: autoDraw = False
14.3381 	EXP 	image_2: autoDraw = False
14.3381 	EXP 	slider: autoDraw = False
14.3381 	EXP 	text: autoDraw = False
14.3381 	EXP 	image: image = 'blue.png'
14.3381 	EXP 	image_2: image = 'spring_green.png'
14.3381 	EXP 	slider: markerPos = None
14.3381 	EXP 	slider: markerPos = None
14.3381 	EXP 	slider: rating = None
14.3381 	EXP 	image: autoDraw = True
14.3381 	EXP 	image_2: autoDraw = True
14.3381 	EXP 	slider: autoDraw = True
14.3381 	EXP 	text: autoDraw = True
18.3055 	DATA 	Mouse: Left button down, pos=(650,175)
18.3212 	EXP 	slider: markerPos = 3.416666666666667
18.3212 	EXP 	unnamed Circle: pos = array([[-0.07777778, -0.3       ]])
18.3374 	EXP 	slider: markerPos = 3.416666666666667
18.3542 	EXP 	slider: markerPos = 3.416666666666667
18.3714 	EXP 	slider: markerPos = 3.416666666666667
18.3885 	EXP 	slider: markerPos = 3.416666666666667
18.4045 	EXP 	slider: markerPos = 3.416666666666667
18.4214 	EXP 	slider: markerPos = 3.416666666666667
18.4221 	DATA 	Mouse:  Left button up, pos=(650,175)
18.4381 	EXP 	slider: markerPos = 3.416666666666667
18.4381 	EXP 	slider: rating = 3.416666666666667
18.4381 	EXP 	unnamed Circle: pos = array([[-0.07777778, -0.3       ]])
18.4391 	EXP 	New trial (rep=0, index=2): OrderedDict([('color1', 'red'), ('color2', 'red'), ('color1a', 'red.png'), ('color2a', 'red.png')])
18.4547 	EXP 	image: autoDraw = False
18.4547 	EXP 	image_2: autoDraw = False
18.4547 	EXP 	slider: autoDraw = False
18.4547 	EXP 	text: autoDraw = False
18.4547 	EXP 	image: image = 'red.png'
18.4547 	EXP 	image_2: image = 'red.png'
18.4547 	EXP 	slider: markerPos = None
18.4547 	EXP 	slider: markerPos = None
18.4547 	EXP 	slider: rating = None
18.4547 	EXP 	image: autoDraw = True
18.4547 	EXP 	image_2: autoDraw = True
18.4547 	EXP 	slider: autoDraw = True
18.4547 	EXP 	text: autoDraw = True
20.8741 	DATA 	Mouse: Left button down, pos=(360,182)
20.9040 	EXP 	slider: markerPos = 1.0
20.9040 	EXP 	unnamed Circle: pos = array([[-0.4, -0.3]])
20.9209 	EXP 	slider: markerPos = 1.0
20.9379 	EXP 	slider: markerPos = 1.0
20.9548 	EXP 	slider: markerPos = 1.0
20.9557 	DATA 	Mouse:  Left button up, pos=(360,182)
20.9714 	EXP 	slider: markerPos = 1.0
20.9714 	EXP 	slider: rating = 1.0
20.9714 	EXP 	unnamed Circle: pos = array([[-0.4, -0.3]])
20.9725 	EXP 	New trial (rep=0, index=3): OrderedDict([('color1', 'blue'), ('color2', 'magenta'), ('color1a', 'blue.png'), ('color2a', 'magenta.png')])
20.9884 	EXP 	image: autoDraw = False
20.9884 	EXP 	image_2: autoDraw = False
20.9884 	EXP 	slider: autoDraw = False
20.9884 	EXP 	text: autoDraw = False
20.9884 	EXP 	image: image = 'blue.png'
20.9884 	EXP 	image_2: image = 'magenta.png'
20.9884 	EXP 	slider: markerPos = None
20.9884 	EXP 	slider: markerPos = None
20.9884 	EXP 	slider: rating = None
20.9884 	EXP 	image: autoDraw = True
20.9884 	EXP 	image_2: autoDraw = True
20.9884 	EXP 	slider: autoDraw = True
20.9884 	EXP 	text: autoDraw = True
26.1734 	DATA 	Mouse: Left button down, pos=(734,175)
26.1862 	EXP 	slider: markerPos = 4.116666666666667
26.1862 	EXP 	unnamed Circle: pos = array([[ 0.01555556, -0.3       ]])
26.2042 	EXP 	slider: markerPos = 4.116666666666667
26.2216 	EXP 	slider: markerPos = 4.116666666666667
26.2381 	EXP 	slider: markerPos = 4.116666666666667
26.2546 	EXP 	slider: markerPos = 4.116666666666667
26.2566 	DATA 	Mouse:  Left button up, pos=(734,175)
26.2688 	EXP 	slider: markerPos = 4.116666666666667
26.2688 	EXP 	slider: rating = 4.116666666666667
26.2688 	EXP 	unnamed Circle: pos = array([[ 0.01555556, -0.3       ]])
26.2716 	EXP 	New trial (rep=0, index=4): OrderedDict([('color1', 'azure'), ('color2', 'green'), ('color1a', 'azure.png'), ('color2a', 'green.png')])
26.2881 	EXP 	image: autoDraw = False
26.2881 	EXP 	image_2: autoDraw = False
26.2881 	EXP 	slider: autoDraw = False
26.2881 	EXP 	text: autoDraw = False
26.2881 	EXP 	image: image = 'azure.png'
26.2881 	EXP 	image_2: image = 'green.png'
26.2881 	EXP 	slider: markerPos = None
26.2881 	EXP 	slider: markerPos = None
26.2881 	EXP 	slider: rating = None
26.2881 	EXP 	image: autoDraw = True
26.2881 	EXP 	image_2: autoDraw = True
26.2881 	EXP 	slider: autoDraw = True
26.2881 	EXP 	text: autoDraw = True
29.1568 	DATA 	Mouse: Left button down, pos=(612,186)
29.1699 	EXP 	slider: markerPos = 3.0999999999999996
29.1699 	EXP 	unnamed Circle: pos = array([[-0.12, -0.3 ]])
29.1883 	EXP 	slider: markerPos = 3.0999999999999996
29.2045 	EXP 	slider: markerPos = 3.0999999999999996
29.2218 	EXP 	slider: markerPos = 3.0999999999999996
29.2381 	EXP 	slider: markerPos = 3.0999999999999996
29.2548 	EXP 	slider: markerPos = 3.0999999999999996
29.2573 	DATA 	Mouse:  Left button up, pos=(612,186)
29.2716 	EXP 	slider: markerPos = 3.0999999999999996
29.2716 	EXP 	slider: rating = 3.0999999999999996
29.2716 	EXP 	unnamed Circle: pos = array([[-0.12, -0.3 ]])
29.2741 	EXP 	New trial (rep=0, index=5): OrderedDict([('color1', 'violet'), ('color2', 'red'), ('color1a', 'violet.png'), ('color2a', 'red.png')])
29.2902 	EXP 	image: autoDraw = False
29.2902 	EXP 	image_2: autoDraw = False
29.2902 	EXP 	slider: autoDraw = False
29.2902 	EXP 	text: autoDraw = False
29.2902 	EXP 	image: image = 'violet.png'
29.2902 	EXP 	image_2: image = 'red.png'
29.2902 	EXP 	slider: markerPos = None
29.2902 	EXP 	slider: markerPos = None
29.2902 	EXP 	slider: rating = None
29.2902 	EXP 	image: autoDraw = True
29.2902 	EXP 	image_2: autoDraw = True
29.2902 	EXP 	slider: autoDraw = True
29.2902 	EXP 	text: autoDraw = True
31.4739 	DATA 	Mouse: Left button down, pos=(839,178)
31.4871 	EXP 	slider: markerPos = 4.991666666666666
31.4871 	EXP 	unnamed Circle: pos = array([[ 0.13222222, -0.3       ]])
31.5050 	EXP 	slider: markerPos = 4.991666666666666
31.5211 	EXP 	slider: markerPos = 4.991666666666666
31.5381 	EXP 	slider: markerPos = 4.991666666666666
31.5550 	EXP 	slider: markerPos = 4.991666666666666
31.5709 	EXP 	slider: markerPos = 4.991666666666666
31.5886 	EXP 	slider: markerPos = 4.991666666666666
31.5901 	DATA 	Mouse:  Left button up, pos=(839,178)
31.6021 	EXP 	slider: markerPos = 4.991666666666666
31.6021 	EXP 	slider: rating = 4.991666666666666
31.6021 	EXP 	unnamed Circle: pos = array([[ 0.13222222, -0.3       ]])
31.6054 	EXP 	New trial (rep=0, index=6): OrderedDict([('color1', 'chartrueuse_green'), ('color2', 'violet'), ('color1a', 'chartrueuse_green.png'), ('color2a', 'violet.png')])
31.6216 	EXP 	image: autoDraw = False
31.6216 	EXP 	image_2: autoDraw = False
31.6216 	EXP 	slider: autoDraw = False
31.6216 	EXP 	text: autoDraw = False
31.6216 	EXP 	image: image = 'chartrueuse_green.png'
31.6216 	EXP 	image_2: image = 'violet.png'
31.6216 	EXP 	slider: markerPos = None
31.6216 	EXP 	slider: markerPos = None
31.6216 	EXP 	slider: rating = None
31.6216 	EXP 	image: autoDraw = True
31.6216 	EXP 	image_2: autoDraw = True
