.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
0,4,0.5,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
1,4,0.4983225699347126,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
2,4,0.44550633527271866,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
3,4,0.39445686119571033,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
4,4,0.34814981683798774,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
5,4,0.3060421945095867,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
6,4,0.26814921323472907,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
7,4,0.2339410768867216,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
8,4,0.20260312889986082,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
9,4,0.172903911404083,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
10,4,0.14452210303640406,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
11,4,0.11724014663125376,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
12,4,0.09037944510090834,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
13,4,0.06467782174383485,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
14,4,0.039957066213195114,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
15,4,0.0157676385347143,0,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
16,4,0.06028005938201353,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
17,4,0.039316340412396344,0,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
18,4,0.07612495354253751,1,0,Real,ideal,2019_Mar_17_1114,Face-Threshold,3.0.4,59.39875322734113,
