.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
0,4,0.5,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
1,4,0.4983225699347126,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
2,4,0.44550633527271866,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
3,4,0.39445686119571033,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
4,4,0.34814981683798774,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
5,4,0.3060421945095867,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
6,4,0.26814921323472907,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
7,4,0.2339410768867216,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
8,4,0.20260312889986082,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
9,4,0.172903911404083,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
10,4,0.14452210303640406,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
11,4,0.11724014663125376,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
12,4,0.09037944510090834,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
13,4,0.06467782174383485,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
14,4,0.039957066213195114,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
15,4,0.0157676385347143,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
16,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
17,4,0.03609680688964256,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
18,4,0.015544358618723553,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
19,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
20,4,0.03012193898540494,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
21,4,0.01248031235046998,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
22,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
23,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
24,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
25,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
26,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
27,4,0.009314878156439443,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
28,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
29,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
30,4,0.007173549105209065,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
31,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
32,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
33,4,0.005002949158157022,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
34,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
35,4,0.013509495971304242,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
36,4,0.0024438198294574054,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
37,4,0.020987054091253454,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
38,4,0.009873308736949526,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
39,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
40,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
41,4,0.007427638943610759,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
42,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
43,4,0.014108387329388405,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
44,4,0.004751538706632363,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
45,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
46,4,0.011359966369075991,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
47,4,0.0025744655668700767,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
48,4,0.017179677740671195,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
49,4,0.008186855864659393,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
50,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
51,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
52,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
53,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
54,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
55,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
56,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
57,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
58,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
59,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
60,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
61,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
62,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
63,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
64,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
65,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
66,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
67,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
68,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
69,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
70,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
71,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
72,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
73,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
74,4,0.005188378094190982,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
75,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
76,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
77,4,0.0034191754892217707,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
78,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
79,4,0.007273602677608015,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
80,4,0.017234333068177288,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
81,4,0.01124663804221887,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
82,4,0.005826824786198281,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
83,4,0.00046405233562063497,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
84,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
85,4,0.0041624888726973786,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
86,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
87,4,0.007606852565539501,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
88,4,0.002575036827742183,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
89,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
90,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
91,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
92,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
93,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
94,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
95,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
96,4,0.0032915980837453507,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
97,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
98,4,0.00638361010420202,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
99,4,0.0018494176821310382,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
100,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
101,4,0.004904336490204664,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
102,4,0.000645264741486351,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
103,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
104,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
105,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
106,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
107,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
108,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
109,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
110,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
111,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
112,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
113,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
114,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
115,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
116,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
117,4,0,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
118,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
119,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
120,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
121,4,0.0008084425960743213,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
122,4,0.006890568617368031,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
123,4,0.013471398490515263,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
124,4,0.009556174006561502,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
125,4,0.005971087647739459,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
126,4,0.0023681385583705916,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
127,4,0.008122725491568894,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
128,4,0.004610944922270821,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
129,4,0.01020407188143374,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
130,4,0.006746201789679773,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
131,4,0.012881969120287662,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
132,4,0.009238067858716892,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
133,4,0.005877475967210055,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
134,4,0.002500371179912586,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
135,4,0,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
136,4,0.004731083146862658,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
137,4,0.0015427306739166369,0,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
138,4,0.006864052354821182,1,0,Schematic,ideal,2019_Mar_17_1921,Face-Threshold,3.0.4,None,
