trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,correct,rt,Face,participant,threshold,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
0,1,1,1,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
1,0,2,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
1,1,3,1,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
2,0,4,1,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
2,1,5,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
3,0,6,1,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
3,1,7,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
4,0,8,1,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
4,1,9,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
5,0,10,1,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
5,1,11,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
6,0,12,1,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
6,1,13,0,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
7,0,14,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
7,1,15,1,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
8,0,16,0,1,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
8,1,17,1,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
9,0,18,1,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
9,1,19,0,0,0,Schematic,ideal,0.000685,2019_Mar_17_1118,Face-ClassificationImage,3.0.4,59.824359271101514,
