.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
0,4,0.5,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
1,4,0.4983225699347126,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
2,4,0.44550633527271866,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
3,4,0.39445686119571033,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
4,4,0.34814981683798774,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
5,4,0.3060421945095867,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
6,4,0.26814921323472907,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
7,4,0.2339410768867216,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
8,4,0.20260312889986082,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
9,4,0.172903911404083,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
10,4,0.14452210303640406,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
11,4,0.11724014663125376,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
12,4,0.09037944510090834,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
13,4,0.06467782174383485,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
14,4,0.039957066213195114,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
15,4,0.0157676385347143,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
16,4,0,0,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
17,4,0.03609680688964256,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
18,4,0.015544358618723553,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
19,4,0,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
20,4,0,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
21,4,0,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
22,4,0,0,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
23,4,0,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
24,4,0,0,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
25,4,0,0,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
26,4,0.024872596417066073,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
27,4,0.010300022901047423,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
28,4,0,1,0,Schematic,ideal,2019_Mar_17_1117,Face-Threshold,3.0.4,60.31614538616575,
