.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
,,,,,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
0,4,0.5,1,1.035112740999466,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
1,4,0.4930457594275589,1,0.9054006590013159,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
2,4,0.44098222611003013,1,0.7852198939999653,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
3,4,0.39044915592878804,1,0.8196564690006198,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
4,4,0.3438500374877672,1,0.9188002680002683,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
5,4,0.30212246918494096,1,0.8513736429995333,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
6,4,0.2644606847687203,1,0.969277783000507,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
7,4,0.23025357976650568,1,0.8884183610007312,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
8,4,0.19829116269705882,1,1.0389740860009624,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
9,4,0.16809608304190554,1,0.8862848740009213,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
10,4,0.13936163110536975,1,1.004984589999367,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
11,4,0.11193823998741548,1,0.9542916859991237,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
12,4,0.08567749210268066,1,0.9216942380007822,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
13,4,0.05990130941577476,1,0.971523852998871,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
14,4,0.03536510729174469,1,0.9888772439990134,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
15,4,0.011320394224367536,1,1.4389805880000495,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
16,4,0,0,2.005282594000164,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
17,4,0.032361424174876474,1,1.3209588610006904,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
18,4,0.012468991731097556,1,1.1044552120001754,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
19,4,0,1,1.2883065440000792,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
20,4,0,0,1.2054602249991149,Schematic,joe,2019_Mar_17_1747,Face-Threshold,3.0.4,60.20939345907433,
